entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,29,0.0,1.0,1,27.0,30,31,8.11,1.23,1.0,2.0,98.05,0,0,0
truck,29,0.0,2.0,2,27.0,26,27,17.86,1.52,2.0,4.0,95.96,1,0,0
truck,29,0.0,3.0,3,26.0,21,22,11.63,4.88,3.0,1.0,96.56,1,0,0
plant,29,0.0,,1,,30,31,,,,,,0,0,0
plant,29,0.0,,2,,26,27,,,,,,1,0,0
plant,29,0.0,,3,,21,22,,,,,,1,0,0
truck,30,0.0,1.0,1,27.0,29,30,3.37,8.33,8.0,4.0,97.56,1,0,0
truck,30,0.0,2.0,2,27.0,26,27,0.42,0.75,1.0,1.0,99.76,0,0,0
truck,30,0.0,3.0,3,28.0,24,25,0.0,2.92,3.0,0.0,99.39,0,0,0
plant,30,0.0,,1,,29,30,,,,,,1,0,0
plant,30,0.0,,2,,26,27,,,,,,0,0,0
plant,30,0.0,,3,,24,25,,,,,,0,0,0
truck,31,0.0,1.0,1,26.0,26,27,0.13,13.87,11.0,1.0,97.09,1,0,0
truck,31,0.0,2.0,2,26.0,24,25,0.4,19.58,14.0,1.0,95.84,0,0,0
truck,31,0.0,3.0,3,25.0,24,25,2.51,58.35,27.0,1.0,87.32,0,0,0
plant,31,0.0,,1,,26,27,,,,,,1,0,0
plant,31,0.0,,2,,24,25,,,,,,0,0,0
plant,31,0.0,,3,,24,25,,,,,,0,0,0
truck,32,0.0,1.0,1,28.0,29,30,5.67,0.4,1.0,2.0,98.74,1,0,0
truck,32,0.0,2.0,2,27.0,26,27,0.68,6.93,6.0,1.0,98.41,0,0,0
truck,32,0.0,3.0,3,27.0,24,25,0.23,3.37,4.0,1.0,99.25,1,0,0
plant,32,0.0,,1,,29,30,,,,,,1,0,0
plant,32,0.0,,2,,26,27,,,,,,0,0,0
plant,32,0.0,,3,,24,25,,,,,,1,0,0
truck,33,0.0,1.0,1,28.0,29,29,3.3,3.24,6.0,3.0,98.64,1,0,1
truck,33,0.0,2.0,2,27.0,26,27,3.84,15.96,10.0,2.0,95.88,1,0,0
truck,33,0.0,3.0,3,26.0,24,25,17.23,2.11,3.0,6.0,95.97,0,0,0
plant,33,0.0,,1,,29,29,,,,,,1,0,1
plant,33,0.0,,2,,26,27,,,,,,1,0,0
plant,33,0.0,,3,,24,25,,,,,,0,0,0
truck,34,0.0,1.0,1,27.0,29,30,15.16,3.15,4.0,4.0,96.18,1,0,0
truck,34,0.0,2.0,2,27.0,26,26,11.79,7.57,6.0,2.0,95.97,0,0,1
truck,34,0.0,3.0,3,25.0,22,23,19.47,5.55,3.0,2.0,94.79,0,1,0
plant,34,0.0,,1,,29,30,,,,,,1,0,0
plant,34,0.0,,2,,26,26,,,,,,0,0,1
plant,34,0.0,,3,,22,23,,,,,,0,1,0
truck,35,0.0,1.0,1,27.0,28,28,15.93,10.58,7.0,7.0,94.48,1,0,1
truck,35,0.0,2.0,2,25.0,25,26,5.47,7.13,7.0,1.0,97.38,1,0,0
truck,35,0.0,3.0,3,27.0,24,25,0.0,21.01,13.0,0.0,95.62,0,0,0
plant,35,0.0,,1,,28,28,,,,,,1,0,1
plant,35,0.0,,2,,25,26,,,,,,1,0,0
plant,35,0.0,,3,,24,25,,,,,,0,0,0
truck,36,0.0,1.0,1,26.0,27,28,9.25,4.09,7.0,3.0,97.22,0,0,0
truck,36,0.0,2.0,2,27.0,26,27,9.56,2.57,4.0,7.0,97.47,0,0,0
truck,36,0.0,3.0,3,27.0,24,25,0.0,14.26,11.0,0.0,97.03,0,0,0
plant,36,0.0,,1,,27,28,,,,,,0,0,0
plant,36,0.0,,2,,26,27,,,,,,0,0,0
plant,36,0.0,,3,,24,25,,,,,,0,0,0
truck,37,0.0,1.0,1,27.0,28,29,2.72,6.65,8.0,2.0,98.05,1,0,0
truck,37,0.0,2.0,2,26.0,25,26,9.06,9.91,5.0,3.0,96.05,0,0,0
truck,37,0.0,3.0,3,27.0,24,25,6.02,11.23,8.0,2.0,96.41,1,0,0
plant,37,0.0,,1,,28,29,,,,,,1,0,0
plant,37,0.0,,2,,25,26,,,,,,0,0,0
plant,37,0.0,,3,,24,25,,,,,,1,0,0
truck,38,0.0,1.0,1,27.0,27,28,0.68,12.82,14.0,1.0,97.19,0,0,0
truck,38,0.0,2.0,2,26.0,25,26,9.28,31.5,20.0,2.0,91.51,0,0,0
truck,38,0.0,3.0,3,26.0,24,25,0.91,10.39,5.0,1.0,97.65,1,0,0
plant,38,0.0,,1,,27,28,,,,,,0,0,0
plant,38,0.0,,2,,25,26,,,,,,0,0,0
plant,38,0.0,,3,,24,25,,,,,,1,0,0
truck,39,0.0,1.0,1,26.0,30,30,4.72,1.35,1.0,1.0,98.74,0,0,1
truck,39,0.0,2.0,2,28.0,25,26,6.95,4.38,3.0,5.0,97.64,0,0,0
truck,39,0.0,3.0,3,26.0,23,24,7.12,0.0,0.0,3.0,98.52,0,0,0
plant,39,0.0,,1,,30,30,,,,,,0,0,1
plant,39,0.0,,2,,25,26,,,,,,0,0,0
plant,39,0.0,,3,,23,24,,,,,,0,0,0
