entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%
truck,19,0.0,1.0,1,15.0,28,29,98.12,0.0,0.0,7.0,79.56
truck,19,0.0,2.0,2,15.0,21,22,130.42,3.7,2.0,10.0,72.06
truck,19,0.0,3.0,3,16.0,11,11,70.17,0.0,0.0,7.0,85.38
truck,19,0.0,4.0,1,16.0,28,29,85.42,0.0,0.0,7.0,82.2
plant,19,0.0,,1,,28,29,,,,,
plant,19,0.0,,2,,21,22,,,,,
plant,19,0.0,,3,,11,11,,,,,
truck,20,0.0,1.0,1,16.0,30,30,98.69,0.0,0.0,8.0,79.44
truck,20,0.0,2.0,2,16.0,19,20,77.62,0.0,0.0,7.0,83.83
truck,20,0.0,3.0,3,15.0,12,12,102.08,2.46,1.0,8.0,78.22
truck,20,0.0,4.0,1,15.0,30,30,123.31,0.0,0.0,11.0,74.31
plant,20,0.0,,1,,30,30,,,,,
plant,20,0.0,,2,,19,20,,,,,
plant,20,0.0,,3,,12,12,,,,,
truck,21,0.0,1.0,1,15.0,29,29,107.1,0.0,0.0,10.0,77.69
truck,21,0.0,2.0,2,17.0,21,21,36.51,0.0,0.0,4.0,92.39
truck,21,0.0,3.0,3,15.0,12,12,134.8,1.72,1.0,11.0,71.56
truck,21,0.0,4.0,1,15.0,29,29,104.88,0.0,0.0,8.0,78.15
plant,21,0.0,,1,,29,29,,,,,
plant,21,0.0,,2,,21,21,,,,,
plant,21,0.0,,3,,12,12,,,,,
truck,22,0.0,1.0,1,15.0,29,29,86.32,0.0,0.0,7.0,82.02
truck,22,0.0,2.0,2,17.0,19,20,51.57,0.0,0.0,4.0,89.26
truck,22,0.0,3.0,3,14.0,12,12,134.25,5.22,2.0,11.0,70.95
truck,22,0.0,4.0,1,15.0,29,29,130.83,0.0,0.0,10.0,72.74
plant,22,0.0,,1,,29,29,,,,,
plant,22,0.0,,2,,19,20,,,,,
plant,22,0.0,,3,,12,12,,,,,
truck,23,0.0,1.0,1,16.0,29,30,78.5,0.0,0.0,7.0,83.65
truck,23,0.0,2.0,2,17.0,20,19,36.66,0.0,0.0,3.0,92.36
truck,23,0.0,3.0,3,15.0,14,14,129.53,4.14,3.0,11.0,72.15
truck,23,0.0,4.0,1,15.0,29,30,108.77,0.0,0.0,9.0,77.34
plant,23,0.0,,1,,29,30,,,,,
plant,23,0.0,,2,,20,19,,,,,
plant,23,0.0,,3,,14,14,,,,,
truck,24,0.0,1.0,1,16.0,28,28,58.59,0.0,0.0,5.0,87.79
truck,24,0.0,2.0,2,15.0,21,21,124.03,0.0,0.0,10.0,74.16
truck,24,0.0,3.0,3,14.0,12,12,138.64,2.01,1.0,10.0,70.7
truck,24,0.0,4.0,1,16.0,28,28,58.83,0.0,0.0,5.0,87.74
plant,24,0.0,,1,,28,28,,,,,
plant,24,0.0,,2,,21,21,,,,,
plant,24,0.0,,3,,12,12,,,,,
truck,25,0.0,1.0,1,15.0,28,29,120.57,0.0,0.0,10.0,74.88
truck,25,0.0,2.0,2,15.0,19,20,102.87,0.0,0.0,8.0,78.57
truck,25,0.0,3.0,3,16.0,14,13,88.44,3.45,2.0,7.0,80.86
truck,25,0.0,4.0,1,16.0,28,29,76.23,0.0,0.0,6.0,84.12
plant,25,0.0,,1,,28,29,,,,,
plant,25,0.0,,2,,19,20,,,,,
plant,25,0.0,,3,,14,13,,,,,
truck,26,0.0,1.0,1,16.0,29,28,75.91,0.0,0.0,7.0,84.19
truck,26,0.0,2.0,2,16.0,19,20,79.93,5.06,2.0,8.0,82.29
truck,26,0.0,3.0,3,15.0,14,14,114.89,0.0,0.0,9.0,76.06
truck,26,0.0,4.0,1,15.0,29,28,107.71,0.0,0.0,8.0,77.56
plant,26,0.0,,1,,29,28,,,,,
plant,26,0.0,,2,,19,20,,,,,
plant,26,0.0,,3,,14,14,,,,,
truck,27,0.0,1.0,1,16.0,28,29,63.29,0.0,0.0,5.0,86.82
truck,27,0.0,2.0,2,16.0,19,20,102.8,0.0,0.0,9.0,78.58
truck,27,0.0,3.0,3,14.0,14,13,135.49,4.71,2.0,10.0,70.79
truck,27,0.0,4.0,1,16.0,28,29,90.45,0.0,0.0,7.0,81.16
plant,27,0.0,,1,,28,29,,,,,
plant,27,0.0,,2,,19,20,,,,,
plant,27,0.0,,3,,14,13,,,,,
truck,28,0.0,1.0,1,15.0,28,29,126.26,0.0,0.0,9.0,73.7
truck,28,0.0,2.0,2,16.0,19,20,87.07,2.62,2.0,6.0,81.31
truck,28,0.0,3.0,3,15.0,14,13,107.74,0.0,0.0,9.0,77.55
truck,28,0.0,4.0,1,16.0,28,29,69.93,0.0,0.0,6.0,85.43
plant,28,0.0,,1,,28,29,,,,,
plant,28,0.0,,2,,19,20,,,,,
plant,28,0.0,,3,,14,13,,,,,
truck,29,0.0,1.0,1,16.0,29,30,107.16,0.0,0.0,8.0,77.67
truck,29,0.0,2.0,2,15.0,20,20,103.59,3.25,3.0,8.0,77.74
truck,29,0.0,3.0,3,16.0,12,13,81.31,0.0,0.0,7.0,83.06
truck,29,0.0,4.0,1,16.0,29,30,76.91,0.0,0.0,5.0,83.98
plant,29,0.0,,1,,29,30,,,,,
plant,29,0.0,,2,,20,20,,,,,
plant,29,0.0,,3,,12,13,,,,,
truck,30,0.0,1.0,1,17.0,27,28,49.35,0.0,0.0,4.0,89.72
truck,30,0.0,2.0,2,17.0,19,19,59.86,0.0,0.0,6.0,87.53
truck,30,0.0,3.0,3,15.0,16,17,127.5,4.01,2.0,10.0,72.6
truck,30,0.0,4.0,1,15.0,27,28,117.0,0.0,0.0,9.0,75.63
plant,30,0.0,,1,,27,28,,,,,
plant,30,0.0,,2,,19,19,,,,,
plant,30,0.0,,3,,16,17,,,,,
truck,31,0.0,1.0,1,16.0,29,29,87.47,0.0,0.0,6.0,81.78
truck,31,0.0,2.0,2,16.0,19,20,95.6,0.0,0.0,8.0,80.08
truck,31,0.0,3.0,3,16.0,13,14,64.41,2.02,1.0,5.0,86.16
truck,31,0.0,4.0,1,15.0,29,29,122.46,0.0,0.0,9.0,74.49
plant,31,0.0,,1,,29,29,,,,,
plant,31,0.0,,2,,19,20,,,,,
plant,31,0.0,,3,,13,14,,,,,
truck,32,0.0,1.0,1,16.0,28,29,84.2,0.0,0.0,7.0,82.46
truck,32,0.0,2.0,2,16.0,20,21,78.29,0.0,0.0,6.0,83.69
truck,32,0.0,3.0,3,16.0,13,13,90.59,5.6,3.0,8.0,79.96
truck,32,0.0,4.0,1,15.0,28,29,120.13,0.0,0.0,11.0,74.97
plant,32,0.0,,1,,28,29,,,,,
plant,32,0.0,,2,,20,21,,,,,
plant,32,0.0,,3,,13,13,,,,,
truck,33,0.0,1.0,1,16.0,28,29,94.11,0.0,0.0,8.0,80.39
truck,33,0.0,2.0,2,16.0,21,21,86.36,0.0,0.0,6.0,82.01
truck,33,0.0,3.0,3,16.0,13,13,81.14,3.78,2.0,7.0,82.31
truck,33,0.0,4.0,1,15.0,28,29,102.67,0.0,0.0,8.0,78.61
plant,33,0.0,,1,,28,29,,,,,
plant,33,0.0,,2,,21,21,,,,,
plant,33,0.0,,3,,13,13,,,,,
truck,34,0.0,1.0,1,16.0,28,29,96.77,0.0,0.0,8.0,79.84
truck,34,0.0,2.0,2,16.0,21,22,91.46,0.0,0.0,8.0,80.95
truck,34,0.0,3.0,3,16.0,13,12,52.97,3.86,2.0,5.0,88.16
truck,34,0.0,4.0,1,15.0,28,29,131.14,0.0,0.0,11.0,72.68
plant,34,0.0,,1,,28,29,,,,,
plant,34,0.0,,2,,21,22,,,,,
plant,34,0.0,,3,,13,12,,,,,
truck,35,0.0,1.0,1,15.0,29,29,99.19,0.0,0.0,8.0,79.34
truck,35,0.0,2.0,2,17.0,21,22,54.11,0.0,0.0,4.0,88.73
truck,35,0.0,3.0,3,14.0,11,11,138.82,1.52,2.0,11.0,70.76
truck,35,0.0,4.0,1,16.0,29,29,72.81,0.0,0.0,6.0,84.83
plant,35,0.0,,1,,29,29,,,,,
plant,35,0.0,,2,,21,22,,,,,
plant,35,0.0,,3,,11,11,,,,,
truck,36,0.0,1.0,1,16.0,28,28,78.43,0.0,0.0,8.0,83.66
truck,36,0.0,2.0,2,15.0,20,21,106.73,3.54,1.0,9.0,77.03
truck,36,0.0,3.0,3,16.0,13,13,82.18,0.0,0.0,7.0,82.88
truck,36,0.0,4.0,1,15.0,28,28,111.26,0.0,0.0,10.0,76.82
plant,36,0.0,,1,,28,28,,,,,
plant,36,0.0,,2,,20,21,,,,,
plant,36,0.0,,3,,13,13,,,,,
truck,37,0.0,1.0,1,16.0,29,30,91.76,0.0,0.0,9.0,80.88
truck,37,0.0,2.0,2,16.0,21,21,90.46,0.0,0.0,8.0,81.15
truck,37,0.0,3.0,3,15.0,12,12,94.15,2.96,2.0,7.0,79.77
truck,37,0.0,4.0,1,16.0,29,30,99.4,0.0,0.0,8.0,79.29
plant,37,0.0,,1,,29,30,,,,,
plant,37,0.0,,2,,21,21,,,,,
plant,37,0.0,,3,,12,12,,,,,
truck,38,0.0,1.0,1,15.0,30,30,91.63,0.0,0.0,8.0,80.91
truck,38,0.0,2.0,2,16.0,21,21,76.98,0.0,0.0,6.0,83.96
truck,38,0.0,3.0,3,16.0,11,11,103.51,1.8,2.0,9.0,78.06
truck,38,0.0,4.0,1,15.0,30,30,122.88,0.0,0.0,10.0,74.4
plant,38,0.0,,1,,30,30,,,,,
plant,38,0.0,,2,,21,21,,,,,
plant,38,0.0,,3,,11,11,,,,,
truck,39,0.0,1.0,1,16.0,28,28,57.42,0.0,0.0,6.0,88.04
truck,39,0.0,2.0,2,15.0,21,21,102.47,0.0,0.0,8.0,78.65
truck,39,0.0,3.0,3,15.0,12,12,101.19,2.4,1.0,7.0,78.42
truck,39,0.0,4.0,1,15.0,28,28,111.08,0.0,0.0,10.0,76.86
plant,39,0.0,,1,,28,28,,,,,
plant,39,0.0,,2,,21,21,,,,,
plant,39,0.0,,3,,12,12,,,,,
