entity,iter,truck,plant,trips,delivered,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,23,1.0,1,31.0,31,4.997981786388465,17.28924493029166,5.0,7.0,95.36,1,0,1
truck,23,2.0,2,26.0,25,0.0,6.460145582193462,3.0,0.0,98.65,1,0,0
truck,23,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,23,,1,,31,,,,,,1,0,1
plant,23,,2,,25,,,,,,1,0,0
plant,23,,3,,23,,,,,,1,0,0
truck,24,1.0,1,32.0,31,3.3263527011772993,10.969060881312373,9.0,5.0,97.02,0,0,0
truck,24,2.0,2,26.0,25,0.0,5.855868877251538,4.0,0.0,98.78,0,0,0
truck,24,3.0,3,23.0,22,0.0,0.8498898650268529,1.0,0.0,99.82,0,0,0
plant,24,,1,,31,,,,,,0,0,0
plant,24,,2,,25,,,,,,0,0,0
plant,24,,3,,22,,,,,,0,0,0
truck,25,1.0,1,31.0,30,1.9948178024331185,22.051596873670874,11.0,5.0,94.99,1,0,0
truck,25,2.0,2,26.0,25,0.0,2.373102598417603,3.0,0.0,99.51,0,0,0
truck,25,3.0,3,23.0,22,0.0,2.9153334268318645,1.0,0.0,99.39,1,0,0
plant,25,,1,,30,,,,,,1,0,0
plant,25,,2,,25,,,,,,0,0,0
plant,25,,3,,22,,,,,,1,0,0
truck,26,1.0,1,32.0,31,2.5204103597901053,9.034056971765011,4.0,4.0,97.59,1,0,0
truck,26,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,0,0,0
truck,26,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,26,,1,,31,,,,,,1,0,0
plant,26,,2,,25,,,,,,0,0,0
plant,26,,3,,23,,,,,,0,0,1
truck,27,1.0,1,31.0,30,2.8234454117179126,23.10769024936019,7.0,4.0,94.6,1,0,0
truck,27,2.0,2,26.0,25,0.0,8.360660614305317,5.0,0.0,98.26,0,0,0
truck,27,3.0,3,24.0,22,0.0,0.5060299799882841,1.0,0.0,99.89,0,0,0
plant,27,,1,,30,,,,,,1,0,0
plant,27,,2,,25,,,,,,0,0,0
plant,27,,3,,22,,,,,,0,0,0
truck,28,1.0,1,30.0,29,1.6832895735216482,39.0000128722982,13.0,5.0,91.52,0,0,0
